Latitude        Longitude          County
41.0760         -81.5206        Summit         
41.0897         -86.8808        Pulaski        
41.0938         -85.0707        Allen          
41.0977         -74.0109        Rockland       
41.1030         -82.5998        Huron          
41.1053         -85.0624        Allen          
41.1217         -86.3858        Fulton         
41.1237         -80.6539        Mahoning       
41.1287         -81.5400        Summit         
41.1328         -83.2854        Seneca         
41.1383         -86.5179        Pulaski        
41.1454         -87.8601        Kankakee       
41.1530         -88.6502        La Salle       
41.1547         -85.9693        Kosciusko      
41.1624         -80.5762        Trumbull       
41.1668         -82.0157        Medina         
41.1698         -81.3124        Portage        
41.1712         -82.2269        Lorain         
41.1887         -84.7448        Paulding       
41.2111         -86.8725        Starke         
41.2124         -85.7061        Kosciusko      
41.2150         -86.7759        Starke         
41.2395         -83.1479        Seneca         
41.2617         -89.1237        La Salle       
41.2684         -82.8577        Huron          
41.2696         -84.9398        DeKalb         
41.2941         -81.2283        Portage        
41.3098         -86.1174        Marshall       
41.3208         -81.5429        Summit         
41.3279         -89.2042        Bureau         
41.3323         -81.1464        Portage        
41.3508         -80.9672        Trumbull       
41.3921         -81.5232        Cuyahoga       
41.3946         -74.3302        Orange         
41.4320         -82.2038        Lorain         
41.4385         -81.7398        Cuyahoga       
41.4402         -85.0221        DeKalb         
41.4495         -87.4764        Lake           
41.4570         -85.4822        Noble          
41.4602         -86.8355        LaPorte        
41.4641         -74.0591        Orange         
41.4701         -81.6490        Cuyahoga       
41.4735         -81.7398        Cuyahoga       
41.4748         -84.5629        Williams       
41.5202         -73.9333        Dutchess       
41.5203         -90.5416        Rock Island    
41.5378         -88.0572        Will           
41.5401         -86.0205        Elkhart        
41.5443         -74.3615        Orange         
41.5500         -87.4569        Lake           
41.5686         -87.2622        Lake           
41.5842         -84.7570        Williams       
41.5848         -85.8581        Elkhart        
41.5899         -87.3732        Lake           
41.5907         -87.3199        Lake           
41.6225         -80.5754        Ashtabula      
41.6546         -86.2479        St. Joseph     
41.6558         -88.2203        Will           
41.6662         -81.3396        Lake           
41.6712         -83.6060        Lucas          
41.6763         -85.9621        Elkhart        
41.6835         -86.1682        St. Joseph     
41.7227         -73.7184        Dutchess       
41.7286         -85.4727        LaGrange       
41.7331         -84.9452        Steuben        
41.7431         -87.8066        Cook           
41.7454         -87.7135        Cook           
41.7504         -88.7754        DeKalb         
41.7599         -73.7437        Dutchess       
41.7662         -88.1410        DuPage         
41.7728         -87.9757        DuPage         
41.7750         -87.6421        Cook           
41.8119         -87.6873        Cook           
41.8259         -84.1016        Lenawee        
41.8276         -83.8773        Lenawee        
41.8459         -85.3345        St. Joseph     
41.8580         -89.3171        Lee            
41.8721         -87.6578        Cook           
41.8756         -73.6912        Dutchess       
41.8782         -75.0343        Sullivan       
41.8829         -87.7582        Cook           
41.8909         -83.7847        Lenawee        
41.8963         -84.4440        Hillsdale      
41.9025         -87.7393        Cook           
41.9699         -87.7603        Cook           
41.9909         -87.6629        Cook           
42.0039         -87.9703        Cook           
42.0053         -74.1532        Ulster         
42.0143         -85.4727        St. Joseph     
42.0172         -76.5333        Tioga          
42.0230         -84.3794        Hillsdale      
42.0275         -85.7988        Cass           
42.0288         -87.8944        Cook           
42.0319         -78.2097        Allegany       
42.0354         -73.9092        Dutchess       
42.0411         -87.6901        Cook           
42.0431         -87.7899        Cook           
42.0564         -88.0725        Cook           
42.0704         -78.1448        Allegany       
42.0849         -74.2407        Ulster         
42.1050         -89.0169        Ogle           
42.1103         -88.0342        Cook           
42.1120         -87.9792        Cook           
42.1209         -85.5024        Kalamazoo      
42.1244         -83.5946        Washtenaw      
42.1340         -87.9341        Cook           
42.1555         -84.0332        Washtenaw      
42.1602         -83.9117        Washtenaw      
42.1794         -87.8059        Lake           
42.1868         -73.5483        Columbia       
42.1955         -74.1023        Greene         
42.2069         -84.5501        Jackson        
42.2097         -87.8056        Lake           
42.2098         -79.4667        Chautauqua     
42.2281         -76.1625        Tioga          
42.2340         -85.3238        Kalamazoo      
42.2417         -75.5366        Chenango       
42.2451         -85.7943        Van Buren      
42.2459         -84.4013        Jackson        
42.2470         -73.7552        Columbia       
42.2554         -89.0768        Winnebago      
42.2581         -84.7561        Calhoun        
