Latitude        Longitude             Zip 
31.0510         -96.4291             77870
32.6041         -96.8653             75115
32.7904         -96.8044             75201
32.7357         -97.1081             76019
26.1513         -97.9185             78570
31.7529         -99.5473             76884
28.5278         -99.8635             78834
31.8925         -106.5426            79911
30.0292         -96.4448             78931
32.8721         -97.8667             76485
32.0484         -100.6922            76949
29.4683         -95.5776             77481
30.2631         -103.6541            79830
28.6908         -95.9675             77457
28.8259         -95.9046             77483
32.5885         -96.9438             75104
30.8906         -99.0212             76869
32.7673         -96.7776             75382
32.2214         -98.2224             76401
31.7089         -106.3293            79907
32.5421         -97.3208             76097
32.4682         -99.7182             79601
33.2636         -98.3931             76459
32.9968         -96.7921             75252
26.3440         -97.8123             78594
33.1901         -98.7446             76372
32.2079         -95.3948             75762
33.1298         -100.0559            79540
32.2054         -96.7900             76623
32.7673         -96.7776             75373
32.9660         -96.7452             75080
27.1583         -99.3202             78067
33.6666         -101.5277            79343
30.7142         -95.5508             77341
29.8019         -96.1014             77473
32.9643         -96.6012             75048
29.2117         -98.8552             78059
32.8013         -97.1952             76118
32.9247         -96.9598             75063
31.6948         -106.3000            88518
28.5119         -100.3112            78860
31.6948         -106.3000            88584
33.5914         -99.2587             76380
30.0799         -95.4172             77383
30.0709         -93.8659             77630
36.4453         -100.3254            79024
27.7536         -97.4347             78416
29.5395         -98.4194             78217
31.3514         -97.6444             76558
29.3465         -100.9289            78841
35.4015         -101.8951            79185
32.8147         -96.7877             75221
29.7844         -95.6849             77413
32.0482         -99.6775             79519
